Naarai's Car Dealership|1234 Auto Star City TX 75232|1-800-555-1234
93526|2018|Honda|Altima|Coupe|Purple|146607|75014.0
10380|2021|BMW|Model 3|Convertible|Green|71628|45023.0
88766|2018|Audi|Silverado|Hatchback|Yellow|191472|42712.0
69483|2011|Audi|Civic|Convertible|Green|71473|36507.0
14234|2013|Toyota|Model 3|Hatchback|Gray|43436|72166.0
32385|2017|Honda|Model 3|Hatchback|Silver|187028|75959.0
84991|2010|Nissan|Civic|Truck|Blue|186598|56446.0
80464|2020|Mercedes|Altima|SUV|Black|72984|41790.0
31419|2018|Chevrolet|Q5|Coupe|Blue|121139|24501.0
99921|2012|Audi|Camry|Wagon|White|153259|53220.0
56941|2011|Mercedes|Silverado|Truck|Black|188050|66988.0
99334|2011|Ford|Q5|Wagon|Green|69604|13959.0
42001|2024|Ford|E-Class|Wagon|Orange|139567|8941.0
65118|2024|Mercedes|Altima|Convertible|White|37249|31957.0
83641|2015|Toyota|E-Class|Wagon|Orange|41107|45673.0
80138|2018|Chevrolet|3 Series|Hatchback|White|13155|68993.0
88380|2015|Hyundai|Model 3|Truck|Blue|186382|51409.0
28203|2018|Ford|3 Series|Truck|Blue|143491|15413.0
96832|2022|Honda|F-150|Wagon|Blue|139606|66418.0
61852|2024|BMW|Civic|Hatchback|Blue|3008|41997.0
15911|2018|Mercedes|Silverado|Sedan|White|37168|73676.0
16378|2015|Nissan|Elantra|SUV|Blue|44105|47246.0
93656|2016|Ford|Silverado|Hatchback|Yellow|103569|35304.0
37672|2024|Nissan|Model 3|Hatchback|Red|79681|52800.0
87211|2014|Audi|E-Class|Wagon|Red|60071|39448.0
70851|2016|Audi|Altima|Truck|Red|114869|9149.0
92292|2020|Toyota|Model 3|Coupe|Black|93965|37972.0
53489|2021|Audi|Elantra|SUV|Gray|127337|10301.0
34817|2010|Hyundai|3 Series|Truck|Green|16263|58227.0
47114|2022|BMW|E-Class|Truck|Purple|25278|28362.0
12559|2010|Chevrolet|Camry|Wagon|Yellow|71037|31050.0
25665|2014|Audi|Silverado|Truck|Blue|67885|26750.0
58601|2015|Chevrolet|Model 3|Wagon|Red|195350|13317.0
39322|2019|Nissan|Silverado|SUV|Gray|14618|53484.0
36999|2011|Chevrolet|Altima|Coupe|Gray|152948|60626.0
72289|2016|Chevrolet|Elantra|Wagon|Blue|126148|40496.0
19913|2021|Toyota|Model 3|Coupe|Orange|134150|69726.0
61186|2019|Tesla|E-Class|Convertible|White|73737|47054.0
43123|2023|Hyundai|Q5|SUV|Orange|192128|44382.0
96036|2021|BMW|Silverado|Convertible|White|104197|37169.0
37071|2020|Honda|Q5|Coupe|Gray|154819|28046.0
81312|2023|Honda|E-Class|Truck|Green|8602|30872.0
76648|2018|Chevrolet|Altima|Truck|Black|132266|34020.0
36109|2023|Audi|Camry|Truck|Silver|17597|31577.0
63841|2019|Chevrolet|E-Class|Hatchback|Blue|46951|7272.0
91424|2024|Chevrolet|Q5|Coupe|Green|44725|22821.0
17638|2015|Tesla|Q5|Coupe|Purple|44134|57076.0
96308|2024|Ford|Altima|Hatchback|Silver|27553|12020.0
69297|2012|Hyundai|F-150|SUV|Black|115453|19952.0
68553|2017|Chevrolet|F-150|Convertible|Green|13114|48682.0
31669|2022|Honda|Q5|SUV|Black|17821|74073.0
13984|2019|Audi|Silverado|Wagon|Silver|144541|46423.0
48175|2016|Tesla|F-150|Coupe|Black|199874|67696.0
33207|2024|Honda|Silverado|Convertible|Green|32414|37166.0
70703|2020|Ford|Elantra|SUV|Green|40995|57733.0
45931|2010|Honda|Civic|Sedan|Yellow|153156|13015.0
94926|2021|Tesla|Elantra|Hatchback|Green|150642|32233.0
18793|2019|BMW|3 Series|Sedan|Blue|49489|49864.0
83674|2018|Ford|Q5|Hatchback|Blue|12402|23097.0
71375|2018|Mercedes|F-150|Sedan|Gray|147748|38718.0
42430|2018|Chevrolet|Altima|Convertible|Purple|17421|43815.0
38033|2024|Mercedes|F-150|Convertible|Yellow|168178|34108.0
77214|2021|Toyota|Altima|Truck|Green|119898|52243.0
52130|2010|BMW|Camry|Convertible|Green|46474|63700.0
86775|2021|BMW|Silverado|Convertible|White|43177|34904.0
77024|2023|BMW|Altima|Sedan|Yellow|37668|16044.0
60755|2010|Honda|F-150|Coupe|Red|190293|53466.0
69173|2018|Toyota|E-Class|Coupe|Gray|93337|66947.0
60353|2012|Honda|Q5|Truck|Yellow|11828|34827.0
73440|2010|Audi|3 Series|Convertible|Silver|65160|31996.0
52034|2016|Chevrolet|Civic|Hatchback|Purple|44783|54539.0
69670|2011|Mercedes|Camry|Sedan|White|110954|13955.0
12726|2011|Hyundai|Altima|Truck|Black|50862|37983.0
70780|2020|Ford|3 Series|Convertible|Green|83860|32357.0
93711|2024|Hyundai|Silverado|Wagon|Black|4597|66551.0
67809|2023|Hyundai|3 Series|Coupe|Blue|147689|52067.0
45908|2020|Toyota|3 Series|Convertible|Blue|44256|38481.0
12334|2016|Hyundai|Model 3|Truck|Green|143424|63591.0
97581|2016|BMW|Q5|SUV|Yellow|111695|46802.0
84105|2016|Hyundai|F-150|Truck|Yellow|10041|40618.0
83168|2016|Hyundai|Elantra|Hatchback|Gray|87031|32079.0
77153|2018|BMW|Camry|Sedan|Red|154303|31109.0
51106|2024|Chevrolet|Q5|Sedan|Purple|78884|66366.0
97304|2017|Ford|Silverado|Sedan|Orange|110461|26409.0
21634|2021|Audi|Camry|Convertible|Green|92597|74044.0
73701|2016|Chevrolet|F-150|Convertible|Silver|108119|38895.0
30057|2018|Mercedes|3 Series|Convertible|Green|26846|25105.0
57229|2023|Honda|Elantra|SUV|Orange|166405|55537.0
60665|2016|Nissan|Silverado|Convertible|Blue|134930|24302.0
35520|2015|Tesla|Civic|Truck|Orange|59073|11881.0
24652|2024|Audi|Camry|Coupe|Yellow|20874|12228.0
14200|2024|Chevrolet|Elantra|Sedan|Red|57468|8073.0
18427|2016|Tesla|E-Class|Hatchback|Purple|85570|53796.0
18293|2023|Tesla|Model 3|SUV|Purple|4381|79472.0
23320|2013|Nissan|Camry|Truck|Blue|15127|13329.0
46437|2015|Nissan|Civic|Wagon|Purple|180878|26775.0
91783|2024|Tesla|E-Class|Hatchback|Blue|93318|5485.0
